Tool,Range,Count
APERTURE,1.0,0
APERTURE,2.0,1.0
APERTURE,3.0,3.0
APERTURE,4.0,0
APERTURE,5.0,0
GeoMap,1.0,0
GeoMap,2.0,1.0
GeoMap,3.0,3.0
GeoMap,4.0,2.0
GeoMap,5.0,0
GeoMen,1.0,0
GeoMen,2.0,1.0
GeoMen,3.0,2.0
GeoMen,4.0,2.0
GeoMen,5.0,1.0
Influent,1.0,0
Influent,2.0,1.0
Influent,3.0,0
Influent,4.0,1.0
Influent,5.0,0
LineUP,1.0,0
LineUP,2.0,1.0
LineUP,3.0,0
LineUP,4.0,0
LineUP,5.0,0
NEON,1.0,0
NEON,2.0,3.0
NEON,3.0,0
NEON,4.0,0
NEON,5.0,0
NEWMAN,1.0,0
NEWMAN,2.0,0
NEWMAN,3.0,1.0
NEWMAN,4.0,0
NEWMAN,5.0,0
TrackCom,1.0,0
TrackCom,2.0,1.0
TrackCom,3.0,2.0
TrackCom,4.0,2.0
TrackCom,5.0,0
