Tool,Load,LoadOT1,LoadOT2,Difficulty,DifficultyOT1,DifficultyOT2
GeoMap,2.944,2.64,3.4,4.166666667,3.333333333,5
GeoMap,3.22,3.56,2.88,4.583333333,3.5,5.666666667
TrackCom,2.68,1.6,3.4,5.5,5.333333333,5.666666667
Influent,2.666666667,NA,2.666666667,2.5,2.666666667,2.333333333
Influent,3.471428571,3.6,3.3,3,3,3
GeoMen,2.875,2.6,3.15,NA,NA,NA
APERTURE,3,2.6,3.4,5.166666667,5,5.333333333
NEON,2.519047619,1.933333333,3.3,5.666666667,5.666666667,5.666666667
GeoMen,3.033333333,2.466666667,3.6,6.333333333,6.333333333,NA
Influent,NA,NA,NA,NA,NA,NA
Influent,2.3,1.7,3.2,5.833333333,6.333333333,5.333333333
NEON,2.685333333,1.733333333,3.32,5.166666667,4.333333333,6
APERTURE,2.38,1.68,3.08,5.333333333,4,6.666666667
GeoMap,3.36,3,3.48,1.666666667,NA,1.666666667
APERTURE,2.84375,2.75,3,6,6.333333333,5.666666667
TrackCom,2.92,NA,2.92,6.5,7,6
TrackCom,3.525,3.55,3.5,7.666666667,9,6.333333333
GeoMap,2.78,2.72,2.84,4.5,4.333333333,4.666666667
TrackCom,3.378666667,3.466666667,3.32,6.333333333,NA,6.333333333
GeoMap,2.858181818,2.4,3.24,5.166666667,5,5.333333333
Influent,NA,NA,NA,NA,NA,NA
GeoMap,3.26,3.56,2.96,NA,NA,NA
GeoMen,3.433333333,3.1,3.6,4.5,4,5
NEON,2.557333333,2.44,2.733333333,2.333333333,NA,2.333333333
APERTURE,3.02,3.36,2,1.166666667,1.333333333,1
TrackCom,3.2,NA,3.2,NA,NA,NA
GeoMen,3.392857143,3.55,3,2.333333333,2.666666667,2
TrackCom,2.166666667,3.7,1.4,NA,NA,NA
GeoMen,4.355555556,4.8,3.8,6.333333333,6.333333333,NA
GeoMen,3.6,3.6,NA,4.833333333,5.333333333,4.333333333
NEWMAN,3.4,3.4,3.4,5.666666667,5.666666667,5.666666667
LineUP,2.6,2.4,2.8,4.5,4.666666667,4.333333333
TrackCom,3,3,3,4.833333333,5.666666667,4
