Tool,Range,load,loadOT1,loadOT2,difficulty,difficultyOT1,difficultyOT2
APERTURE,1.0,0,0,0,1.0,1.0,1.0
APERTURE,2.0,1.0,1.0,1.0,0,0,0
APERTURE,3.0,3.0,3.0,3.0,0,0,0
APERTURE,4.0,0,0,0,0,1.0,0
APERTURE,5.0,0,0,0,2.0,1.0,1.0
APERTURE,6.0,0,0,0,1.0,1.0,1.0
APERTURE,7.0,0,0,0,0,0,1.0
GeoMap,2.0,0,1.0,0,1.0,0,1.0
GeoMap,3.0,6.0,3.0,6.0,0,1.0,0
GeoMap,4.0,0,2.0,0,2.0,2.0,0
GeoMap,5.0,0,0,0,2.0,1.0,3.0
GeoMap,6.0,0,0,0,0,0,1.0
GeoMen,2.0,0,1.0,0,1.0,0,1.0
GeoMen,3.0,4.0,2.0,2.0,0,1.0,0
GeoMen,4.0,2.0,2.0,3.0,1.0,1.0,1.0
GeoMen,5.0,0,1.0,0,1.0,1.0,1.0
GeoMen,6.0,0,0,0,2.0,2.0,0
Influent,2.0,1.0,1.0,0,1.0,0,1.0
Influent,3.0,2.0,0,3.0,1.0,2.0,1.0
Influent,4.0,0,1.0,0,0,0,0
Influent,5.0,0,0,0,0,0,1.0
Influent,6.0,0,0,0,1.0,1.0,0
LineUP,2.0,0,1.0,0,0,0,0
LineUP,3.0,1.0,0,1.0,0,0,0
LineUP,4.0,0,0,0,1.0,0,1.0
LineUP,5.0,0,0,0,0,1.0,0
NEON,2.0,0,3.0,0,1.0,0,1.0
NEON,3.0,3.0,0,3.0,0,0,0
NEON,4.0,0,0,0,0,1.0,0
NEON,5.0,0,0,0,1.0,0,0
NEON,6.0,0,0,0,1.0,1.0,2.0
NEWMAN,3.0,1.0,1.0,1.0,0,0,0
NEWMAN,6.0,0,0,0,1.0,1.0,1.0
TrackCom,1.0,0,0,1.0,0,0,0
TrackCom,2.0,1.0,1.0,0,0,0,0
TrackCom,3.0,5.0,2.0,5.0,0,0,0
TrackCom,4.0,1.0,2.0,1.0,0,0,1.0
TrackCom,5.0,0,0,0,1.0,1.0,0
TrackCom,6.0,0,0,0,3.0,1.0,4.0
TrackCom,7.0,0,0,0,0,1.0,0
TrackCom,8.0,0,0,0,1.0,0,0
TrackCom,9.0,0,0,0,0,1.0,0
